record_id,timestamp,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type
tx-rec-000010,2026-03-01T08:09:24+00:00,tx_peel_0010,"[""bc1qpeellud4qu32whgdjlje9hfgxhzu55q5qv47hrydym""]","[""bc1qpeelhop4sr0sn77aksp964yk4kk9ytl6awk20w2e3eqwn"", ""bc1qpeelaj4ada05tfxaa6r0k32hagceuu55nsp5r3mmew""]",[48.532239],"[0.123917, 48.408222]",0.0001,P2WPKH
tx-rec-000011,2026-03-01T08:09:56+00:00,tx_peel_0011,"[""bc1qpeelaj4ada05tfxaa6r0k32hagceuu55nsp5r3mmew""]","[""bc1qpeelhopqgdc7st3xsl3tq4anshy5w9d6xcvch34hvadlj"", ""bc1qpeelwrnvqltqk4k7ml2l7hw4x60t8qwgtme2v0ffvc""]",[48.408222],"[0.241616, 48.166506]",0.0001,P2WPKH
tx-rec-000012,2026-03-01T08:10:33+00:00,tx_peel_0012,"[""bc1qpeelwrnvqltqk4k7ml2l7hw4x60t8qwgtme2v0ffvc""]","[""bc1qpeelhopeq4k3agl886h37qfzlcq6prqu4mc4gaempmucn"", ""bc1qpeelka6s5yp2y6qa45w9yw28m8jjy9ck30nx0kl4sn""]",[48.166506],"[0.245957, 47.920449]",0.0001,P2WPKH
tx-rec-000013,2026-03-01T08:11:39+00:00,tx_peel_0013,"[""bc1qpeelka6s5yp2y6qa45w9yw28m8jjy9ck30nx0kl4sn""]","[""bc1qpeelhop275lstspgamg7watpxxqxzlmjvv2wy0kz4a0fl"", ""bc1qpeel3n7ydztkfxg0guaz0xhmuednlj2rlae45k9fmy""]",[47.920449],"[0.131349, 47.789]",0.0001,P2WPKH
tx-rec-000014,2026-03-01T08:12:49+00:00,tx_peel_0014,"[""bc1qpeel3n7ydztkfxg0guaz0xhmuednlj2rlae45k9fmy""]","[""bc1qpeelhopnqef765kudfav50n5wpz55tvwqxmgfue8f0hrq"", ""bc1qpeelsg8zcgm0qn0hwpfwqsktn30uppduud6sq0gxg8""]",[47.789],"[0.102272, 47.686628]",0.0001,P2WPKH
tx-rec-000015,2026-03-01T08:14:02+00:00,tx_peel_0015,"[""bc1qpeelsg8zcgm0qn0hwpfwqsktn30uppduud6sq0gxg8""]","[""bc1qpeelhop9xl22hdly3rjvs9jjm8npppklmwk0gwlcdza6q"", ""bc1qpeeld3maq8hd9wq77uevlhkplpl3539l8jt7pzqk9k""]",[47.686628],"[0.23428, 47.452248]",0.0001,P2WPKH
tx-rec-000016,2026-03-01T08:15:32+00:00,tx_peel_0016,"[""bc1qpeeld3maq8hd9wq77uevlhkplpl3539l8jt7pzqk9k""]","[""bc1qpeelhopmat9nllpar0h53t9m99rmxrpd6t86j2zymuusf"", ""bc1qpeelpnvcvf4jhj2r2xkcecwtz8qyx7c3n0f0txu8hy""]",[47.452248],"[0.135423, 47.316725]",0.0001,P2WPKH
tx-rec-000017,2026-03-01T08:16:54+00:00,tx_peel_0017,"[""bc1qpeelpnvcvf4jhj2r2xkcecwtz8qyx7c3n0f0txu8hy""]","[""bc1qpeelhopepr6lu29u2ghhyx8pe9jfatecjy4kdvmn99t9l"", ""bc1qpeeltysmsnl322cv35xgan3pkae4s8mp0etwmcytgc""]",[47.316725],"[0.116718, 47.199907]",0.0001,P2WPKH
tx-rec-000018,2026-03-01T08:17:30+00:00,tx_peel_0018,"[""bc1qpeeltysmsnl322cv35xgan3pkae4s8mp0etwmcytgc""]","[""bc1qpeelhopgp8psjpzc003fjpdr92m2mw7m4y3mesnt646ap"", ""bc1qpeelqluw5jdhm6525ljndlk5hmazjp58uk2dzn737h""]",[47.199907],"[0.052458, 47.147349]",0.0001,P2WPKH
tx-rec-000019,2026-03-01T08:18:38+00:00,tx_peel_0019,"[""bc1qpeelqluw5jdhm6525ljndlk5hmazjp58uk2dzn737h""]","[""bc1qpeelhop3gzsqps9s92ez9u63z7en4kfm4g923rs0hn02e"", ""bc1qpeelvlcac4wxhxnqg7hsuteeu00dk5gnxdz7a896v8""]",[47.147349],"[0.188483, 46.958766]",0.0001,P2WPKH
tx-rec-000020,2026-03-01T08:19:19+00:00,tx_peel_0020,"[""bc1qpeelvlcac4wxhxnqg7hsuteeu00dk5gnxdz7a896v8""]","[""bc1qpeelhop5ce0qshert38eqs4kzca2zndvcusa7kypae4qh"", ""bc1qpeelx0pet4xa8tpyzzww35xt7edmz82m7ktc2tvvyw""]",[46.958766],"[0.218576, 46.74009]",0.0001,P2WPKH
tx-rec-000021,2026-03-01T08:20:39+00:00,tx_peel_0021,"[""bc1qpeelx0pet4xa8tpyzzww35xt7edmz82m7ktc2tvvyw""]","[""bc1qpeelhopwg720z8etnhyty0ccre7njyvkr83rh0xm8n0nw"", ""bc1qpeelp3jsnjhgcdqqh9exl287veawlxdk53gdlgmfgf""]",[46.74009],"[0.144133, 46.595857]",0.0001,P2WPKH
tx-rec-000022,2026-03-01T08:21:29+00:00,tx_peel_0022,"[""bc1qpeelp3jsnjhgcdqqh9exl287veawlxdk53gdlgmfgf""]","[""bc1qpeelhopu4mu3u4mm37cure4pkcy72639s6d68l5tne6w3"", ""bc1qpeel0g93wajk3984dkcp9rsv7m5vqk9sadzyus0nzy""]",[46.595857],"[0.104604, 46.491153]",0.0001,P2WPKH
tx-rec-000023,2026-03-01T08:22:13+00:00,tx_peel_0023,"[""bc1qpeel0g93wajk3984dkcp9rsv7m5vqk9sadzyus0nzy""]","[""bc1qpeelhop0xqlaqth559g86qmqm3uafk7zzmvzjgn7245vx"", ""bc1qpeelrhjtsrgtc7sq7gkdl5y0tucfpeskc0tx5ycnmm""]",[46.491153],"[0.095385, 46.395668]",0.0001,P2WPKH
tx-rec-000024,2026-03-01T08:23:07+00:00,tx_peel_0024,"[""bc1qpeelrhjtsrgtc7sq7gkdl5y0tucfpeskc0tx5ycnmm""]","[""bc1qpeelhoph6x2d79mwg42k60j38glfrw8488f7w3l2f7m6d"", ""bc1qpeelek74lgw34k2qh63ya8p32j6vf64kh3yv57fqhm""]",[46.395668],"[0.090841, 46.304727]",0.0001,P2WPKH
tx-rec-000025,2026-03-01T08:23:49+00:00,tx_peel_0025,"[""bc1qpeelek74lgw34k2qh63ya8p32j6vf64kh3yv57fqhm""]","[""bc1qpeelhopg7d9c2l94gfs8a6tywlk8fjv7hg0fv8f8xyxwf"", ""bc1qpeelp9053etjxwglrawgqqamt68wrgx6ley8v9naxq""]",[46.304727],"[0.150495, 46.154132]",0.0001,P2WPKH
tx-rec-000026,2026-03-01T08:25:17+00:00,tx_peel_0026,"[""bc1qpeelp9053etjxwglrawgqqamt68wrgx6ley8v9naxq""]","[""bc1qpeelhop2zrjfetq4h3sqf7d8z0p6gllzg5q6vnq0neqja"", ""bc1qpeelzkz34scg9jg3qrerve04xcrh3k8y5uu604ake3""]",[46.154132],"[0.148698, 46.005334]",0.0001,P2WPKH
tx-rec-000027,2026-03-01T08:26:30+00:00,tx_peel_0027,"[""bc1qpeelzkz34scg9jg3qrerve04xcrh3k8y5uu604ake3""]","[""bc1qpeelhopsqml7pmcxjxd2eg2dnqks5cknrsvqsscwjf2dg"", ""bc1qpeelg6qwkg2njpp4qgm2e78x7000up3y4upr2jucnm""]",[46.005334],"[0.10465, 45.900584]",0.0001,P2WPKH
tx-rec-000028,2026-03-01T08:27:25+00:00,tx_peel_0028,"[""bc1qpeelg6qwkg2njpp4qgm2e78x7000up3y4upr2jucnm""]","[""bc1qpeelhopjuhkuwgdpqzw7w3e6y364557y0fpxhfr070tuj"", ""bc1qpeel47d6eceg3und37amz4kzv6ymzqpzqcnwcvhcml""]",[45.900584],"[0.237785, 45.662699]",0.0001,P2WPKH
tx-rec-000029,2026-03-01T08:28:35+00:00,tx_peel_0029,"[""bc1qpeel47d6eceg3und37amz4kzv6ymzqpzqcnwcvhcml""]","[""bc1qpeelhopclnthpjkglwat8dav5aym6k66qwt64zlgd7qpz"", ""bc1qpeeljq00s48f835h7en8rzgw5ct2tfus8rc72xztq8""]",[45.662699],"[0.198363, 45.464236]",0.0001,P2WPKH
tx-rec-000030,2026-03-01T08:29:38+00:00,tx_peel_0030,"[""bc1qpeeljq00s48f835h7en8rzgw5ct2tfus8rc72xztq8""]","[""bc1qpeelhop5gzk40xsyx5zkjnawzszptrxc4h2p40m8dcm7j"", ""bc1qpeelg0v37n573lux83rar868agn9t3ze6gjrsut0ev""]",[45.464236],"[0.114327, 45.349809]",0.0001,P2WPKH
tx-rec-000031,2026-03-01T08:30:46+00:00,tx_peel_0031,"[""bc1qpeelg0v37n573lux83rar868agn9t3ze6gjrsut0ev""]","[""bc1qpeelhopts73vpyzehmj2peqfe0dagk7wrfg6rwrfum5az"", ""bc1qpeelk6eaakhcq7x0vrdefereaz3wz4x6syssdqnd2e""]",[45.349809],"[0.15744, 45.192269]",0.0001,P2WPKH
tx-rec-000032,2026-03-01T08:31:31+00:00,tx_peel_0032,"[""bc1qpeelk6eaakhcq7x0vrdefereaz3wz4x6syssdqnd2e""]","[""bc1qpeelhopjcxle0n96glx7uahualhr8t5ann4pa6xn0shzm"", ""bc1qpeelxdq0p5my58lp643qeqz3xw6fqjkwlrsxv4ltu9""]",[45.192269],"[0.145545, 45.046624]",0.0001,P2WPKH
tx-rec-000033,2026-03-01T08:32:45+00:00,tx_peel_0033,"[""bc1qpeelxdq0p5my58lp643qeqz3xw6fqjkwlrsxv4ltu9""]","[""bc1qpeelhopdhf9pzudr09l5gqd2dny2an37nsm6ccvt9qdkd"", ""bc1qpeelzu03qjnr6dq76ygu626s9wfnmv6ae9clhp42s0""]",[45.046624],"[0.11162, 44.934904]",0.0001,P2WPKH
tx-rec-000034,2026-03-01T08:33:21+00:00,tx_peel_0034,"[""bc1qpeelzu03qjnr6dq76ygu626s9wfnmv6ae9clhp42s0""]","[""bc1qpeelhop55asfx67jutkqyvqqtfx450dq5gzjz6ar45qqa"", ""bc1qpeeltejy9hsmcpcc8demzvt0veux04jys8gpvjp0ny""]",[44.934904],"[0.092214, 44.84259]",0.0001,P2WPKH
tx-rec-000035,2026-03-01T08:34:31+00:00,tx_peel_0035,"[""bc1qpeeltejy9hsmcpcc8demzvt0veux04jys8gpvjp0ny""]","[""bc1qpeelhop7zfs40hf72plhx2a044ml7p05r9ldvsmj3usjq"", ""bc1qpeel2tcgmem3fxxzvwra75jlvj5tapkv6g4p87sp3f""]",[44.84259],"[0.122041, 44.720449]",0.0001,P2WPKH
tx-rec-000036,2026-03-01T08:35:11+00:00,tx_peel_0036,"[""bc1qpeel2tcgmem3fxxzvwra75jlvj5tapkv6g4p87sp3f""]","[""bc1qpeelhopy6s0rxxvhq6p4uzfjfscgjhdar3hegrpu8fzfv"", ""bc1qpeelce9rpyppxnhtc8lx3cxrrntyf89a4cl7yl5cer""]",[44.720449],"[0.235801, 44.484548]",0.0001,P2WPKH
tx-rec-000037,2026-03-01T08:36:18+00:00,tx_peel_0037,"[""bc1qpeelce9rpyppxnhtc8lx3cxrrntyf89a4cl7yl5cer""]","[""bc1qpeelhopwtyd0ppejp4eqzrw6d77ve8fhsslstydpyzj5g"", ""bc1qpeelvzcdptjm8ekg5yuhgm5ptqmaz4zqhuhqezcu7r""]",[44.484548],"[0.157121, 44.327327]",0.0001,P2WPKH
tx-rec-000038,2026-03-01T08:37:32+00:00,tx_peel_0038,"[""bc1qpeelvzcdptjm8ekg5yuhgm5ptqmaz4zqhuhqezcu7r""]","[""bc1qpeelhop4h8y0ruh06mcamspjhgahjktk0szw4gvg26psw"", ""bc1qpeelxsvraux60efhde3raxqk4ctv2xanlghw7t7ndv""]",[44.327327],"[0.197145, 44.130082]",0.0001,P2WPKH
tx-rec-000039,2026-03-01T08:38:26+00:00,tx_peel_0039,"[""bc1qpeelxsvraux60efhde3raxqk4ctv2xanlghw7t7ndv""]","[""bc1qpeelhop6faeslhkkhk629lepsa2l5dtlsnefzf288a3qv"", ""bc1qpeelfux4z62znlzne28hqyneqtpsvn9nd43hpj0ll9""]",[44.130082],"[0.24008, 43.889902]",0.0001,P2WPKH
tx-rec-000040,2026-03-01T08:39:46+00:00,tx_peel_0040,"[""bc1qpeelfux4z62znlzne28hqyneqtpsvn9nd43hpj0ll9""]","[""bc1qpeelhop46k2pfjf0h0clc4hq7htp6az7nz3v79altmyql"", ""bc1qpeelezqa5cqvkeqeutj3ukuns7p4vq0gc2ln39s34a""]",[43.889902],"[0.168576, 43.721226]",0.0001,P2WPKH
tx-rec-000041,2026-03-01T08:40:43+00:00,tx_peel_0041,"[""bc1qpeelezqa5cqvkeqeutj3ukuns7p4vq0gc2ln39s34a""]","[""bc1qpeelhopl9ljfd3ujapcf9jpkwnj6hpuy9ntvxxr27g8rs"", ""bc1qpeelp82ywak5hcxzmjqp225v75kl9rfk9n6gypy57n""]",[43.721226],"[0.245421, 43.475705]",0.0001,P2WPKH
tx-rec-000042,2026-03-01T08:41:58+00:00,tx_peel_0042,"[""bc1qpeelp82ywak5hcxzmjqp225v75kl9rfk9n6gypy57n""]","[""bc1qpeelhopvfvxnv9a6p8850tahzfw790t9kn2rt2wca3ywp"", ""bc1qpeelpumf5zf0m344k3ndc9v80eze4x6rauhjqvkmw6""]",[43.475705],"[0.124428, 43.351177]",0.0001,P2WPKH
tx-rec-000043,2026-03-01T08:42:39+00:00,tx_peel_0043,"[""bc1qpeelpumf5zf0m344k3ndc9v80eze4x6rauhjqvkmw6""]","[""bc1qpeelhopweuu8lj4plsjh3mscurtrx7479fv2kq4kh89t5"", ""bc1qpeelrykmvh50j55er2rzq8mq6ztj9fywuavyfc33ry""]",[43.351177],"[0.119035, 43.232042]",0.0001,P2WPKH
tx-rec-000044,2026-03-01T08:43:12+00:00,tx_peel_0044,"[""bc1qpeelrykmvh50j55er2rzq8mq6ztj9fywuavyfc33ry""]","[""bc1qpeelhophdanw2rt2xp9enqwpk8g0yxxaxsav6gctnt93s"", ""bc1qpeelaxt0ypx5hppk407u0fkdzpxzyp2g6xsw6d5d2h""]",[43.232042],"[0.066917, 43.165025]",0.0001,P2WPKH
tx-rec-000045,2026-03-01T08:43:49+00:00,tx_peel_0045,"[""bc1qpeelaxt0ypx5hppk407u0fkdzpxzyp2g6xsw6d5d2h""]","[""bc1qpeelhophrxcfx4693frkcqsn6gn07al48qsn5mfygv56l"", ""bc1qpeelpuvvah90nexxyjwxwv20ga4dre0f7jwfx0s9hd""]",[43.165025],"[0.117592, 43.047333]",0.0001,P2WPKH
tx-rec-000046,2026-03-01T08:45:16+00:00,tx_peel_0046,"[""bc1qpeelpuvvah90nexxyjwxwv20ga4dre0f7jwfx0s9hd""]","[""bc1qpeelhopca3deeul00km83g9v2mm5y6l0jsxuh87yu9ref"", ""bc1qpeelt4gu6dfdv772erw67hp9fktqcswjxue4405js8""]",[43.047333],"[0.086436, 42.960797]",0.0001,P2WPKH
tx-rec-000047,2026-03-01T08:46:13+00:00,tx_peel_0047,"[""bc1qpeelt4gu6dfdv772erw67hp9fktqcswjxue4405js8""]","[""bc1qpeelhop77ur76t0z8g8ln3hvze7efm3k2xhdmptqt0jez"", ""bc1qpeelrfahs85j8svz8u7qtqj6zln852zxfm32fan8ch""]",[42.960797],"[0.245288, 42.715409]",0.0001,P2WPKH
tx-rec-000048,2026-03-01T08:47:24+00:00,tx_peel_0048,"[""bc1qpeelrfahs85j8svz8u7qtqj6zln852zxfm32fan8ch""]","[""bc1qpeelhopp5w266hcg3qf9czhz9dfw9uxjf6rhykxng726h"", ""bc1qpeel4dyq8w60pca9mf9hc4pps5dtrlm89l34nm2ywu""]",[42.715409],"[0.060331, 42.654978]",0.0001,P2WPKH
tx-rec-000049,2026-03-01T08:48:53+00:00,tx_peel_0049,"[""bc1qpeel4dyq8w60pca9mf9hc4pps5dtrlm89l34nm2ywu""]","[""bc1qpeelhop6g4whgzkg4r5d7aurulp7z0s6x8h4caz4dx4c0"", ""bc1qpeelymahsk55fqwsvkddn4fhjyt69yay2z7uhkj3gj""]",[42.654978],"[0.069727, 42.585151]",0.0001,P2WPKH
tx-rec-000050,2026-03-01T08:53:53+00:00,tx_fanout_dispersal_001,"[""bc1qfanoute9667qwtgqja8qk62825wx9tn8uk0dmd3qkrfm""]","[""bc1qmulec2uu8y6zkzss4renvnku89lts58rdw366v7hrn"", ""bc1qmule066em338xz4jrtme0usn2835n0yy4rcq7hlg6c"", ""bc1qmule52qn4u4aju5x0f5n8wewu4644ydm4xxwm6jmp5"", ""bc1qmulepaud4xpxtq30x5ncerth3ly93z6ecfqftctn8f"", ""bc1qmulehkkuelflqrq80z0kyx2dvvua5vzx8u25yqe0yd"", ""bc1qmuleqp3uv0d33lu56rrqafctqa5w2sj0upwkuxjqf6"", ""bc1qmulezjz57m86rkuugcnu6tn743mv0ak3msakn29zll"", ""bc1qmulet2cy0dae7srzq4fr4t5lelva5gw3qwtns6yjrn"", ""bc1qmulexctcdvfwse7m35nht5vkzt34cx69d36s9h9wn5"", ""bc1qmule4l2vevx5dvydpj9wpmnr8u0va6e3eg3gnwg3rx"", ""bc1qmulexs7cczhqh925hnc2mexdfh2vyp9n33eaqvjp9u"", ""bc1qmule3wcs6dfhq6qdqe0tm3pmczyrrc5g5v4zfj0gu5"", ""bc1qmulegz47zfk6edyzl0u0wjvqngfdkjs46f6mkevqfa"", ""bc1qmulemxvzt4nmfhsx4gl2af8ge7h4yxfuqr0d8aw9ut"", ""bc1qmulef8wf05duumcyz8z7nutl5nz6wjf4tjntun9ky7"", ""bc1qmule3fnl0qx3er5gnd8wak8stsp9xnnl4gm4aw3hdu"", ""bc1qmuleeh03y3pecxt606lm2zzhmk6rx700j5v47c8ry9"", ""bc1qmulehydkarhje76pw9elsatyhwfrummfldn362jlau"", ""bc1qmulenyd06ctd3pds4c0cgtwkemj49mwv3wfscc7thz"", ""bc1qmulef46celanvzxauewx2n34tr9sekcmeqgvy4dm02"", ""bc1qmule04cqf67wdwzxv9t4y3cmt965g5vswyfg4jlpzc"", ""bc1qmuler89a3kvpr73z207u747ljvsag5jx8dzvjs796a"", ""bc1qmulevn5wr8w60pg9x3f5jj294nrfaemjhfpny82293"", ""bc1qmule48mqe4rw97tdamr4jqhax8c36w50hc693pvmzl"", ""bc1qmuleh84ulzuj654argrz9hd0dqwsvwm4pr0zvp5h8r"", ""bc1qmulezdr7ynywpwgyj9pwefza2jcmfgytazhpg5ympa"", ""bc1qmuleat02al2afp09davps539z7l38hdtnfy49aalpc"", ""bc1qmulelp75ka3lnkewf5gcxqgfff0kyfsma8j5klasee"", ""bc1qmule0tvg22unc4ahc2rpr275rh8pvaaz0hq40m447h"", ""bc1qmuleug24ezuukupvmfn6up6rkhapyhpeq4ff0gl0an"", ""bc1qmulewm2xygr9zdvjdqe3ndrcqt9saexnehplxsj5cy"", ""bc1qmuledme2v644xhsztr8w6wsf3m4v3smuxcqezl79ga"", ""bc1qmule76ut7lnp7twdfk36rxnhulhdmk53fe33ta48mc"", ""bc1qmule8yx9q3vy3lvxje2q4hx90c9cs5krxpw83ywqs2"", ""bc1qmulezymm3ky922jnfavz02stkvprk2sqff5gwzd7f2"", ""bc1qmule8l8rwtlz0ru3562dn8amh439khrdx8qysanj9q"", ""bc1qmulej2wqm975z8r7du5zqng4h29eu39mhve276f2ak"", ""bc1qmuled0mwxxtlscuffrr24erpvygllj6erx50ty38kc"", ""bc1qmuleemdpttm4lc96gggyhv72y9mc36s9v5n5m242pv"", ""bc1qmulel2q2q99pvdqmd3gj8cdufnw5ctcfnhzm62xx0m""]",[10.002],"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",0.002,P2WSH
tx-rec-000051,2026-03-01T08:53:54+00:00,tx_dust_0000,"[""bc1qattackeryf3k3dh8t8uzx8xppmtc4fj5hw76g6fsqh4vu0""]","[""bc1qdusttargetcqrtqyelp5snyyzlznrk4wtmpjc7lxctz8czqg""]",[5.3e-05],[3e-06],5e-05,P2PKH
tx-rec-000052,2026-03-01T08:53:57+00:00,tx_dust_0001,"[""bc1qattackeryf3k3dh8t8uzx8xppmtc4fj5hw76g6fsqh4vu0""]","[""bc1qdusttargetcqrtqyelp5snyyzlznrk4wtmpjc7lxctz8czqg""]",[5.3e-05],[3e-06],5e-05,P2PKH
tx-rec-000053,2026-03-01T08:53:59+00:00,tx_dust_0002,"[""bc1qattackeryf3k3dh8t8uzx8xppmtc4fj5hw76g6fsqh4vu0""]","[""bc1qdusttargetcqrtqyelp5snyyzlznrk4wtmpjc7lxctz8czqg""]",[5.3e-05],[3e-06],5e-05,P2PKH
tx-rec-000054,2026-03-01T08:54:01+00:00,tx_dust_0003,"[""bc1qattackeryf3k3dh8t8uzx8xppmtc4fj5hw76g6fsqh4vu0""]","[""bc1qdusttargetcqrtqyelp5snyyzlznrk4wtmpjc7lxctz8czqg""]",[5.3e-05],[3e-06],5e-05,P2PKH
tx-rec-000055,2026-03-01T08:54:04+00:00,tx_dust_0004,"[""bc1qattackeryf3k3dh8t8uzx8xppmtc4fj5hw76g6fsqh4vu0""]","[""bc1qdusttargetcqrtqyelp5snyyzlznrk4wtmpjc7lxctz8czqg""]",[5.3e-05],[3e-06],5e-05,P2PKH
tx-rec-000056,2026-03-01T08:54:07+00:00,tx_dust_0005,"[""bc1qattackeryf3k3dh8t8uzx8xppmtc4fj5hw76g6fsqh4vu0""]","[""bc1qdusttargetcqrtqyelp5snyyzlznrk4wtmpjc7lxctz8czqg""]",[5.3e-05],[3e-06],5e-05,P2PKH
tx-rec-000057,2026-03-01T08:54:09+00:00,tx_dust_0006,"[""bc1qattackeryf3k3dh8t8uzx8xppmtc4fj5hw76g6fsqh4vu0""]","[""bc1qdusttargetcqrtqyelp5snyyzlznrk4wtmpjc7lxctz8czqg""]",[5.3e-05],[3e-06],5e-05,P2PKH
tx-rec-000058,2026-03-01T08:54:12+00:00,tx_dust_0007,"[""bc1qattackeryf3k3dh8t8uzx8xppmtc4fj5hw76g6fsqh4vu0""]","[""bc1qdusttargetcqrtqyelp5snyyzlznrk4wtmpjc7lxctz8czqg""]",[5.3e-05],[3e-06],5e-05,P2PKH
tx-rec-000059,2026-03-01T08:54:15+00:00,tx_dust_0008,"[""bc1qattackeryf3k3dh8t8uzx8xppmtc4fj5hw76g6fsqh4vu0""]","[""bc1qdusttargetcqrtqyelp5snyyzlznrk4wtmpjc7lxctz8czqg""]",[5.3e-05],[3e-06],5e-05,P2PKH
tx-rec-000060,2026-03-01T08:54:18+00:00,tx_dust_0009,"[""bc1qattackeryf3k3dh8t8uzx8xppmtc4fj5hw76g6fsqh4vu0""]","[""bc1qdusttargetcqrtqyelp5snyyzlznrk4wtmpjc7lxctz8czqg""]",[5.3e-05],[3e-06],5e-05,P2PKH
tx-rec-000061,2026-03-01T08:54:20+00:00,tx_dust_0010,"[""bc1qattackeryf3k3dh8t8uzx8xppmtc4fj5hw76g6fsqh4vu0""]","[""bc1qdusttargetcqrtqyelp5snyyzlznrk4wtmpjc7lxctz8czqg""]",[5.3e-05],[3e-06],5e-05,P2PKH
tx-rec-000062,2026-03-01T08:54:23+00:00,tx_dust_0011,"[""bc1qattackeryf3k3dh8t8uzx8xppmtc4fj5hw76g6fsqh4vu0""]","[""bc1qdusttargetcqrtqyelp5snyyzlznrk4wtmpjc7lxctz8czqg""]",[5.3e-05],[3e-06],5e-05,P2PKH
