record_id,timestamp,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,src_ip,dst_ip,src_port,dst_port,geo_country,asn
tx-rec-000023,2026-01-01T10:25:52+00:00,tx_norm_000023,"[""bc1q55awtvw784swfm5xvztw0rcxtvt9t4vv8ugat8""]","[""bc1qdtkm3azrjsu3zngpdwsn6yfx2456cqdywv9nk5""]",[0.586369],[0.586269],0.0001,P2WPKH,74.175.194.153,63.184.150.126,54942,8333,US,AS15169
tx-rec-000024,2026-01-01T10:26:44+00:00,tx_norm_000024,"[""bc1qxvanm5sksj0c0xwua2wy3h3ss5hk9vf7kr7azn""]","[""bc1q84rhek99gzaxh4vgwg3pvcd3kwvqxntj475t0k""]",[1.598044],[1.597944],0.0001,P2WPKH,119.89.180.17,107.97.21.175,40515,8333,US,AS15169
tx-rec-000025,2026-01-01T10:26:49+00:00,tx_norm_000025,"[""bc1qyqemyaetupurpjnfdd67yh853v4suw2cs5e6us""]","[""bc1qfy8gd02j8zd0xunt5auq5qg039ukrj4aa2ftg4""]",[1.034333],[1.034233],0.0001,P2WPKH,,,,,,
tx-rec-000026,2026-01-01T10:28:26+00:00,tx_norm_000026,"[""bc1qvlhg62yhue3n25laz4smt8jggvzammry77p663""]","[""bc1qt6gfp8gargkathudyzgaejyut59nvk4vvas9w5""]",[2.444024],[2.443924],0.0001,P2WPKH,,,,,,
tx-rec-000027,2026-01-01T10:30:15+00:00,tx_norm_000027,"[""bc1qrsdel7k3js9zp4zetcys7jj25chgmjcm6zracu""]","[""bc1qz5dkcg984aem8v6clcshjha0yjy7d2hwnhkvfw""]",[1.082227],[1.082127],0.0001,P2WPKH,49.43.84.219,39.16.213.141,57183,8333,US,AS15169
tx-rec-000028,2026-01-01T10:30:39+00:00,tx_norm_000028,"[""bc1qqfry9tkhfr9vu3w8gme0v67tcwq90y3rhsqnht""]","[""bc1qsjn93a9ck58qq3fkf7fwlqvse0dsvyfrkm88f0""]",[1.553354],[1.553254],0.0001,P2WPKH,154.119.173.207,34.231.131.115,42589,8333,US,AS15169
tx-rec-000029,2026-01-01T10:31:31+00:00,tx_norm_000029,"[""bc1qrzytdt0kgppluy480wkx83uxaf5yah4w5gpryf""]","[""bc1qr7fcdrsl326mp9phg9s4faphp2em0a759c0r6e""]",[1.416955],[1.416855],0.0001,P2WPKH,63.184.150.126,117.117.145.15,42641,8333,US,AS15169
tx-rec-000030,2026-01-01T10:32:59+00:00,tx_norm_000030,"[""bc1qdtkm3azrjsu3zngpdwsn6yfx2456cqdywv9nk5""]","[""bc1q3p65c898syar0nq24aejwqa4xam855rmfkhkp7""]",[0.088994],[0.088894],0.0001,P2WPKH,89.186.6.102,19.74.105.47,41838,8333,US,AS15169
tx-rec-000031,2026-01-01T10:34:25+00:00,tx_norm_000031,"[""bc1qn098rpw3f07j07nk8lt0tqc5yc34vmtrkzekum""]","[""bc1qkqaudpzltrq0hytslrl6nmu5p2y40c5qfsxvr2""]",[0.436845],[0.436745],0.0001,P2WPKH,76.210.1.191,108.115.223.235,58541,8333,US,AS15169
tx-rec-000032,2026-01-01T10:36:19+00:00,tx_norm_000032,"[""bc1q6y36mp84w8mmfljx7q8epacs3gzz379xwwd6uq""]","[""bc1qyqemyaetupurpjnfdd67yh853v4suw2cs5e6us""]",[2.298789],[2.298689],0.0001,P2WPKH,107.97.21.175,19.74.105.47,48883,8333,US,AS15169
tx-rec-000033,2026-01-01T10:36:29+00:00,tx_norm_000033,"[""bc1qgj48cl883n8wv38p75xlhtt74ffgrpz4ecv87g""]","[""bc1qrsdel7k3js9zp4zetcys7jj25chgmjcm6zracu""]",[2.3148060000000004],[2.314706],0.0001,P2WPKH,19.74.105.47,107.97.21.175,45877,8333,US,AS15169
tx-rec-000034,2026-01-01T10:38:22+00:00,tx_norm_000034,"[""bc1qsns7kxgq4zm86kk3zxg4uhqj9uz8kexjwv9tfx""]","[""bc1qvlq28a3849ndd79xnm6r6eznkpus82c97ywcne""]",[2.4041580000000002],[2.404058],0.0001,P2WPKH,178.221.90.31,107.97.21.175,42521,8333,US,AS15169
tx-rec-000035,2026-01-01T10:39:05+00:00,tx_norm_000035,"[""bc1qraafea5fypwmak0aflngg7hwt63jncusp8708h""]","[""bc1qwm0j85fm8fp3z3jjzkehnz90tdrnsrc2ku6sgq""]",[0.608876],[0.608776],0.0001,P2WPKH,89.186.6.102,107.97.21.175,50870,8333,US,AS15169
tx-rec-000036,2026-01-01T10:39:59+00:00,tx_norm_000036,"[""bc1qx6w6xzehxyxw0l4zazkhyvg746g96rtls6vwuj""]","[""bc1qqdg9h7kxq5ml8pjn2fq4s0kxfxwh7ycnx3lkrx""]",[0.358577],[0.358477],0.0001,P2WPKH,180.224.139.35,103.20.235.145,51333,8333,US,AS15169
tx-rec-000037,2026-01-01T10:40:10+00:00,tx_norm_000037,"[""bc1q6y36mp84w8mmfljx7q8epacs3gzz379xwwd6uq""]","[""bc1q39nkczjgm4qvnsr7g8cgf4fpd5x3u34rtklkc4""]",[0.588139],[0.588039],0.0001,P2WPKH,,,,,,
tx-rec-000038,2026-01-01T10:41:32+00:00,tx_norm_000038,"[""bc1q3p65c898syar0nq24aejwqa4xam855rmfkhkp7""]","[""bc1q3pamfqd2vdz9zy3ndtpy5mt23sdelmpydsljen""]",[2.387697],[2.387597],0.0001,P2WPKH,178.221.90.31,117.117.145.15,48956,8333,US,AS15169
tx-rec-000039,2026-01-01T10:43:17+00:00,tx_norm_000039,"[""bc1q39nkczjgm4qvnsr7g8cgf4fpd5x3u34rtklkc4""]","[""bc1qu857msn6shssgxlnmvn53ga92jag2u3vvmjgkt""]",[0.578165],[0.578065],0.0001,P2WPKH,89.186.6.102,66.149.19.12,59197,8333,US,AS15169
tx-rec-000040,2026-01-01T10:44:46+00:00,tx_norm_000040,"[""bc1qatmdnmprpunwnaglr3ar65kzjxu9uhtrc4y5yv""]","[""bc1qf98xgvk2zuzxv6h7e2ez9tgfyzkq5aylkr2ljv""]",[1.932797],[1.932697],0.0001,P2WPKH,63.184.150.126,180.224.139.35,42688,8333,US,AS15169
tx-rec-000041,2026-01-01T10:45:25+00:00,tx_norm_000041,"[""bc1q07cvy9nezky4z6y94frcmjel9q0xkrrpd3pccv""]","[""bc1qrzytdt0kgppluy480wkx83uxaf5yah4w5gpryf""]",[1.782176],[1.782076],0.0001,P2WPKH,180.224.139.35,89.186.6.102,51819,8333,US,AS15169
tx-rec-000042,2026-01-01T10:45:43+00:00,tx_norm_000042,"[""bc1qf98xgvk2zuzxv6h7e2ez9tgfyzkq5aylkr2ljv""]","[""bc1qn098rpw3f07j07nk8lt0tqc5yc34vmtrkzekum""]",[2.3580710000000003],[2.357971],0.0001,P2WPKH,178.221.90.31,34.231.131.115,44341,8333,US,AS15169
tx-rec-000043,2026-01-01T10:45:59+00:00,tx_norm_000043,"[""bc1qv3fn7qh8n0ss4f6yj28vgtpzmywmrjukwrh98n""]","[""bc1q39nkczjgm4qvnsr7g8cgf4fpd5x3u34rtklkc4""]",[1.127721],[1.127621],0.0001,P2WPKH,76.210.1.191,39.16.213.141,42936,8333,US,AS15169
tx-rec-000044,2026-01-01T10:46:49+00:00,tx_norm_000044,"[""bc1qt6gfp8gargkathudyzgaejyut59nvk4vvas9w5""]","[""bc1qf98xgvk2zuzxv6h7e2ez9tgfyzkq5aylkr2ljv""]",[1.496442],[1.496342],0.0001,P2WPKH,89.186.6.102,74.175.194.153,53559,8333,US,AS15169
tx-rec-000045,2026-01-01T10:47:43+00:00,tx_norm_000045,"[""bc1q3p65c898syar0nq24aejwqa4xam855rmfkhkp7""]","[""bc1qf98xgvk2zuzxv6h7e2ez9tgfyzkq5aylkr2ljv""]",[1.814961],[1.814861],0.0001,P2WPKH,63.184.150.126,45.197.165.251,45556,8333,US,AS15169
tx-rec-000046,2026-01-01T10:49:15+00:00,tx_norm_000046,"[""bc1qatmdnmprpunwnaglr3ar65kzjxu9uhtrc4y5yv""]","[""bc1qraafea5fypwmak0aflngg7hwt63jncusp8708h""]",[0.35581199999999996],[0.355712],0.0001,P2WPKH,119.89.180.17,140.52.147.138,45479,8333,US,AS15169
tx-rec-000047,2026-01-01T10:50:15+00:00,tx_norm_000047,"[""bc1qvlhg62yhue3n25laz4smt8jggvzammry77p663""]","[""bc1q0v5596p00t8c62rjrhsj4jy2tvjgy2hephx33m""]",[0.756483],[0.756383],0.0001,P2WPKH,154.119.173.207,34.231.131.115,56246,8333,US,AS15169
tx-rec-000048,2026-01-01T10:51:36+00:00,tx_norm_000048,"[""bc1q3pamfqd2vdz9zy3ndtpy5mt23sdelmpydsljen""]","[""bc1qsjn93a9ck58qq3fkf7fwlqvse0dsvyfrkm88f0""]",[1.150175],[1.150075],0.0001,P2WPKH,,,,,,
tx-rec-000049,2026-01-01T10:51:41+00:00,tx_norm_000049,"[""bc1qrzytdt0kgppluy480wkx83uxaf5yah4w5gpryf""]","[""bc1qjuaalzh5kdkkgc7ql8s2rqtepuzh2jlvvgjgrf""]",[2.1057170000000003],[2.105617],0.0001,P2WPKH,117.117.145.15,119.89.180.17,54110,8333,US,AS15169
tx-rec-000050,2026-01-01T10:53:30+00:00,tx_norm_000050,"[""bc1qdtkm3azrjsu3zngpdwsn6yfx2456cqdywv9nk5""]","[""bc1qnt3sga272xjzk9s7dsvc4dwrwezhhxjtr3mukc""]",[0.34904999999999997],[0.34895],0.0001,P2WPKH,107.97.21.175,144.114.30.175,50295,8333,US,AS15169
tx-rec-000051,2026-01-01T10:53:57+00:00,tx_norm_000051,"[""bc1qrzytdt0kgppluy480wkx83uxaf5yah4w5gpryf""]","[""bc1qsns7kxgq4zm86kk3zxg4uhqj9uz8kexjwv9tfx""]",[0.735806],[0.735706],0.0001,P2WPKH,119.89.180.17,45.197.165.251,50678,8333,US,AS15169
tx-rec-000052,2026-01-01T10:54:50+00:00,tx_norm_000052,"[""bc1qvlhg62yhue3n25laz4smt8jggvzammry77p663""]","[""bc1qr5f4hfy2dgyv4pkzde74vgpnm0t85l3s77vc5w""]",[0.918989],[0.918889],0.0001,P2WPKH,144.114.30.175,45.197.165.251,45895,8333,US,AS15169
tx-rec-000053,2026-01-01T10:56:22+00:00,tx_norm_000053,"[""bc1q3p65c898syar0nq24aejwqa4xam855rmfkhkp7""]","[""bc1qt6gfp8gargkathudyzgaejyut59nvk4vvas9w5""]",[0.07712100000000001],[0.077021],0.0001,P2WPKH,107.97.21.175,144.114.30.175,49546,8333,US,AS15169
tx-rec-000054,2026-01-01T10:58:13+00:00,tx_norm_000054,"[""bc1qrsdel7k3js9zp4zetcys7jj25chgmjcm6zracu""]","[""bc1qgj48cl883n8wv38p75xlhtt74ffgrpz4ecv87g""]",[2.0493240000000004],[2.049224],0.0001,P2WPKH,76.210.1.191,107.97.21.175,44560,8333,US,AS15169
tx-rec-000055,2026-01-01T10:59:39+00:00,tx_norm_000055,"[""bc1qulyzp92shnx6lnh3dcpvcqayukgcczejzpkf7d""]","[""bc1qqfry9tkhfr9vu3w8gme0v67tcwq90y3rhsqnht""]",[0.639277],[0.639177],0.0001,P2WPKH,76.210.1.191,89.186.6.102,54715,8333,US,AS15169
tx-rec-000056,2026-01-01T11:01:00+00:00,tx_norm_000056,"[""bc1qr7fcdrsl326mp9phg9s4faphp2em0a759c0r6e""]","[""bc1qnt3sga272xjzk9s7dsvc4dwrwezhhxjtr3mukc""]",[1.008105],[1.008005],0.0001,P2WPKH,107.97.21.175,76.210.1.191,41204,8333,US,AS15169
tx-rec-000057,2026-01-01T11:02:46+00:00,tx_norm_000057,"[""bc1qvm8x5g990twp6gdlnf9v7eh8llzazp9lpr2mhw""]","[""bc1qkqaudpzltrq0hytslrl6nmu5p2y40c5qfsxvr2""]",[2.2398990000000003],[2.239799],0.0001,P2WPKH,176.247.108.96,103.20.235.145,48134,8333,US,AS15169
tx-rec-000058,2026-01-01T11:04:15+00:00,tx_norm_000058,"[""bc1qakj6y5prmulu02nlnsfnhnayhtpa32gh7mcqrv""]","[""bc1qn5hzcqnvvvecqsv23nxzrf4nvgqw2tad5jlt63""]",[0.42428299999999997],[0.424183],0.0001,P2WPKH,19.74.105.47,108.115.223.235,53094,8333,US,AS15169
tx-rec-000059,2026-01-01T11:05:56+00:00,tx_norm_000059,"[""bc1qjuaalzh5kdkkgc7ql8s2rqtepuzh2jlvvgjgrf""]","[""bc1q39nkczjgm4qvnsr7g8cgf4fpd5x3u34rtklkc4""]",[0.273902],[0.273802],0.0001,P2WPKH,,,,,,
tx-rec-000060,2026-01-01T11:06:29+00:00,tx_norm_000060,"[""bc1qu857msn6shssgxlnmvn53ga92jag2u3vvmjgkt""]","[""bc1qx6w6xzehxyxw0l4zazkhyvg746g96rtls6vwuj""]",[1.301906],[1.301806],0.0001,P2WPKH,19.74.105.47,63.184.150.126,52259,8333,US,AS15169
tx-rec-000061,2026-01-01T11:07:24+00:00,tx_norm_000061,"[""bc1qdpsvrymdl7p84vdsltvzumn0xu96qac0vle5n0""]","[""bc1qrsdel7k3js9zp4zetcys7jj25chgmjcm6zracu""]",[1.475689],[1.475589],0.0001,P2WPKH,154.119.173.207,74.175.194.153,43425,8333,US,AS15169
tx-rec-000062,2026-01-01T11:08:06+00:00,tx_norm_000062,"[""bc1qr5f4hfy2dgyv4pkzde74vgpnm0t85l3s77vc5w""]","[""bc1qf98xgvk2zuzxv6h7e2ez9tgfyzkq5aylkr2ljv""]",[0.29911299999999996],[0.299013],0.0001,P2WPKH,140.52.147.138,89.186.6.102,51241,8333,US,AS15169
tx-rec-000063,2026-01-01T11:09:09+00:00,tx_norm_000063,"[""bc1qcpe6g5m0el0n5g2e7csesu930kzdnsnsy7055p""]","[""bc1qyqemyaetupurpjnfdd67yh853v4suw2cs5e6us""]",[1.212586],[1.212486],0.0001,P2WPKH,66.149.19.12,178.221.90.31,50450,8333,US,AS15169
tx-rec-000064,2026-01-01T11:09:22+00:00,tx_norm_000064,"[""bc1qulyzp92shnx6lnh3dcpvcqayukgcczejzpkf7d""]","[""bc1qxg98k9lwe8zj324ntf3ezjzv0rpk9n4fgyw9j6""]",[2.027463],[2.027363],0.0001,P2WPKH,,,,,,
tx-rec-000065,2026-01-01T11:11:15+00:00,tx_norm_000065,"[""bc1qjuaalzh5kdkkgc7ql8s2rqtepuzh2jlvvgjgrf""]","[""bc1qakj6y5prmulu02nlnsfnhnayhtpa32gh7mcqrv""]",[0.28241299999999997],[0.282313],0.0001,P2WPKH,180.224.139.35,63.184.150.126,45716,8333,US,AS15169
tx-rec-000066,2026-01-01T11:12:30+00:00,tx_norm_000066,"[""bc1qraafea5fypwmak0aflngg7hwt63jncusp8708h""]","[""bc1qn5hzcqnvvvecqsv23nxzrf4nvgqw2tad5jlt63""]",[1.404124],[1.404024],0.0001,P2WPKH,63.184.150.126,76.210.1.191,46044,8333,US,AS15169
tx-rec-000067,2026-01-01T11:12:58+00:00,tx_norm_000067,"[""bc1q84rhek99gzaxh4vgwg3pvcd3kwvqxntj475t0k""]","[""bc1qz5dkcg984aem8v6clcshjha0yjy7d2hwnhkvfw""]",[1.086115],[1.086015],0.0001,P2WPKH,,,,,,
tx-rec-000068,2026-01-01T11:14:21+00:00,tx_norm_000068,"[""bc1qsjn93a9ck58qq3fkf7fwlqvse0dsvyfrkm88f0""]","[""bc1qdpsvrymdl7p84vdsltvzumn0xu96qac0vle5n0""]",[1.484686],[1.484586],0.0001,P2WPKH,107.97.21.175,144.114.30.175,49120,8333,US,AS15169
tx-rec-000069,2026-01-01T11:16:02+00:00,tx_norm_000069,"[""bc1qkqaudpzltrq0hytslrl6nmu5p2y40c5qfsxvr2""]","[""bc1qgj48cl883n8wv38p75xlhtt74ffgrpz4ecv87g""]",[1.447696],[1.447596],0.0001,P2WPKH,28.253.240.121,49.43.84.219,50681,8333,US,AS15169
tx-rec-000070,2026-01-01T11:16:32+00:00,tx_norm_000070,"[""bc1qdpsvrymdl7p84vdsltvzumn0xu96qac0vle5n0""]","[""bc1qmzn0uapy544k9mq7n9hwv3f90sn9rkf03wwkul""]",[0.66336],[0.66326],0.0001,P2WPKH,149.16.240.229,108.115.223.235,59561,8333,US,AS15169
tx-rec-000071,2026-01-01T11:17:26+00:00,tx_norm_000071,"[""bc1q3pamfqd2vdz9zy3ndtpy5mt23sdelmpydsljen""]","[""bc1qrzytdt0kgppluy480wkx83uxaf5yah4w5gpryf""]",[1.4717419999999999],[1.471642],0.0001,P2WPKH,66.149.19.12,176.247.108.96,49746,8333,US,AS15169
tx-rec-000072,2026-01-01T11:18:49+00:00,tx_norm_000072,"[""bc1qwm0j85fm8fp3z3jjzkehnz90tdrnsrc2ku6sgq""]","[""bc1qf98xgvk2zuzxv6h7e2ez9tgfyzkq5aylkr2ljv""]",[1.683654],[1.683554],0.0001,P2WPKH,63.184.150.126,117.117.145.15,45998,8333,US,AS15169
tx-rec-000073,2026-01-01T11:19:41+00:00,tx_norm_000073,"[""bc1qrsdel7k3js9zp4zetcys7jj25chgmjcm6zracu""]","[""bc1q07cvy9nezky4z6y94frcmjel9q0xkrrpd3pccv""]",[1.282054],[1.281954],0.0001,P2WPKH,140.52.147.138,45.197.165.251,53862,8333,US,AS15169
tx-rec-000074,2026-01-01T11:20:09+00:00,tx_norm_000074,"[""bc1qqjut3v20xvllqf40ctmux3v8ljeacc6j4jwdru""]","[""bc1qdtkm3azrjsu3zngpdwsn6yfx2456cqdywv9nk5""]",[1.348174],[1.348074],0.0001,P2WPKH,49.43.84.219,19.74.105.47,56044,8333,US,AS15169
tx-rec-000075,2026-01-01T11:20:50+00:00,tx_norm_000075,"[""bc1q55awtvw784swfm5xvztw0rcxtvt9t4vv8ugat8""]","[""bc1qsjn93a9ck58qq3fkf7fwlqvse0dsvyfrkm88f0""]",[0.793404],[0.793304],0.0001,P2WPKH,31.135.115.136,89.186.6.102,55879,8333,US,AS15169
tx-rec-000076,2026-01-01T11:21:12+00:00,tx_norm_000076,"[""bc1qsjn93a9ck58qq3fkf7fwlqvse0dsvyfrkm88f0""]","[""bc1qrzytdt0kgppluy480wkx83uxaf5yah4w5gpryf""]",[2.410034],[2.409934],0.0001,P2WPKH,119.89.180.17,76.210.1.191,53619,8333,US,AS15169
tx-rec-000077,2026-01-01T11:22:47+00:00,tx_norm_000077,"[""bc1q39nkczjgm4qvnsr7g8cgf4fpd5x3u34rtklkc4""]","[""bc1qu857msn6shssgxlnmvn53ga92jag2u3vvmjgkt""]",[0.42656099999999997],[0.426461],0.0001,P2WPKH,178.221.90.31,63.184.150.126,41071,8333,US,AS15169
tx-rec-000078,2026-01-01T11:23:27+00:00,tx_norm_000078,"[""bc1ql7qs6mr4uy40apyeq3qn4svm4ztdfdjcvu4ynu""]","[""bc1qt6gfp8gargkathudyzgaejyut59nvk4vvas9w5""]",[0.728889],[0.728789],0.0001,P2WPKH,19.74.105.47,178.221.90.31,58013,8333,US,AS15169
tx-rec-000079,2026-01-01T11:24:37+00:00,tx_norm_000079,"[""bc1qmzn0uapy544k9mq7n9hwv3f90sn9rkf03wwkul""]","[""bc1qwm0j85fm8fp3z3jjzkehnz90tdrnsrc2ku6sgq""]",[0.294475],[0.294375],0.0001,P2WPKH,154.119.173.207,19.74.105.47,54462,8333,US,AS15169
tx-rec-000080,2026-01-01T11:25:51+00:00,tx_norm_000080,"[""bc1qcpe6g5m0el0n5g2e7csesu930kzdnsnsy7055p""]","[""bc1q39nkczjgm4qvnsr7g8cgf4fpd5x3u34rtklkc4""]",[0.265117],[0.265017],0.0001,P2WPKH,178.221.90.31,63.184.150.126,41056,8333,US,AS15169
tx-rec-000081,2026-01-01T11:26:53+00:00,tx_norm_000081,"[""bc1q38qalhjfrcq99474ks67hrzja47860k9zkq5vh""]","[""bc1qvm8x5g990twp6gdlnf9v7eh8llzazp9lpr2mhw""]",[2.1569770000000004],[2.156877],0.0001,P2WPKH,,,,,,
